// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,individual,0,0.996834,11.7873,0.996132
1,shared,1,0.998181,12.7172,0.997755
2,individual,2,0.990122,9.1872,0.986647
3,individual,3,0.996826,18.2537,0.996063
4,shared,0,0.998186,12.3751,0.997762
5,shared,1,0.998181,9.20977,0.997755
6,individual,6,0.996752,17.5811,0.996038
7,shared,1,0.998191,19.0855,0.997768
8,shared,0,0.998186,11.7905,0.997762
9,individual,9,0.991245,15.2052,0.988949
10,shared,0,0.998189,6.24062,0.997771
11,shared,1,0.998191,20.1072,0.997768
12,individual,12,0.982365,14.2198,0.979217
13,individual,13,0.99176,9.4377,0.990164
14,shared,0,0.998189,17.9439,0.997771
15,individual,15,0.98086,8.80818,0.974898
