// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0309723,0.0158116,1.76272e-05,-0.447101,0.107852,18,21,24,0.994749,0.00678272,33.5292,0.994749,0.00153134
1,0,-0.0142362,0.0134686,-0.0029317,1.25383,0.100016,16,19,22,0.996672,0.00799896,44.0034,0.996672,0.00106031
2,0,-0.0308656,0.00206094,0.00207903,0.337051,0.10927,16,19,22,0.98036,0.00435174,5.63708,0.98036,0.00223291
3,0,0.0224934,-0.00454429,-0.00103676,-0.195635,0.106711,19,22,25,0.994678,0.00559709,105.539,0.994678,0.000776065
4,0,0.0249496,-0.016674,0.00351934,-1.49332,0.0988834,17,20,23,0.996671,0.00733741,68.0108,0.996671,0.00100938
5,0,0.0304222,-0.00364375,-0.003845,-0.319771,0.108123,17,20,23,0.996672,0.00685734,4.4139,0.996672,0.00275859
6,0,0.0229166,-0.00665719,-0.00159966,-0.185329,0.105578,19,22,25,0.994631,0.00672974,88.5398,0.994631,0.000909575
7,0,-0.0164517,0.00790769,0.0012372,0.853813,0.0977543,17,20,23,0.99667,0.00651401,84.2245,0.99667,0.000744319
8,0,-0.0284539,0.0169351,-0.0021859,-0.448434,0.106977,17,20,23,0.996671,0.00718444,50.5402,0.996671,0.00127077
9,0,0.0288617,-0.0107287,-0.00258183,0.20563,0.104452,20,23,26,0.984179,0.00701133,34.9198,0.984179,0.00147105
10,0,0.0244551,0.00313848,-0.00176431,-0.707975,0.0966314,18,21,24,0.99667,0.00588607,5.01365,0.99667,0.00209197
11,0,0.0196702,-0.00665657,-0.0011865,-0.194687,0.105833,18,21,24,0.99667,0.00627891,117.574,0.99667,0.000739325
12,0,0.0340363,-0.0106295,-0.00359577,-1.49435,0.103335,21,24,27,0.977421,0.00641915,12.9795,0.977421,0.00221419
13,0,-0.0222861,-0.00280794,0.00437277,0.72982,0.0955164,18,21,24,0.98878,0.00857738,4.90091,0.98878,0.00241231
14,0,-0.019907,0.00880352,0.00152283,0.860471,0.104695,19,22,25,0.99667,0.00727107,86.5422,0.99667,0.000894714
15,0,-0.0267272,-0.000913138,0.000296462,0.850945,0.102229,21,24,27,0.964869,0.00285667,15.0376,0.964869,0.00140323
0,1,2.61212e-05,-1.65683e-05,-4.23327e-06,-0.370463,0.107823,18,21,24,0.994959,0.000880459,93.2674,0.994959,8.215e-05
1,1,0.0007717,-0.000103303,-3.22219e-05,1.32953,0.0999511,16,19,22,0.996909,0.000176504,91.1383,0.996909,6.77833e-05
