step,n_r2_baseline,n_r2_adaptive,n_r3_baseline,n_r3_adaptive,n_r5_baseline,n_r5_adaptive,n_r6_baseline,n_r6_adaptive
0,0.0052773676695644,0.0052773676695644,0.0036515617930634,0.0036515617930634,2.6565837949990816e-07,2.6565837949990816e-07,2.795759789623016e-11,2.795759789623016e-11
1,0.0150852575239234,0.0150852575239234,0.0104230102459041,0.0104230102459041,7.779662268663345e-07,7.779662268663346e-07,8.180702475884137e-11,8.180702475884137e-11
2,0.0330274445543685,0.0330274445543685,0.0227689462009204,0.0227689462009204,1.783661890835517e-06,1.783661890835517e-06,1.8725314687862072e-10,1.8725314687862072e-10
3,0.0646836522890392,0.0646836522890392,0.0444858140011487,0.0444858140011487,3.8107765345763214e-06,3.810776534576321e-06,3.986110479726794e-10,3.986110479726794e-10
4,0.1172606616280847,0.1172606616280847,0.0805800285790928,0.0805800285790928,8.062080460346507e-06,8.062080460346507e-06,8.372864137399e-10,8.372864137399e-10
5,0.1974654664717717,0.1974654664717717,0.1361451578950452,0.1361451578950452,1.739673754608143e-05,1.739673754608143e-05,1.786035489909484e-09,1.7860354899094838e-09
6,0.3079814788735435,0.3079814788735435,0.2142109464445331,0.21426421678871904,3.853785495495281e-05,3.853785495495281e-05,3.899161693244423e-09,3.899161693244422e-09
7,0.4454189871469409,0.4454189871469409,0.3138657033854662,0.3139598482529713,8.652369940975742e-05,8.652369940975742e-05,8.626174913795703e-09,8.626174913795703e-09
8,0.6018653299567128,0.6018653299567128,0.4304493175103002,0.4305749405630191,0.0001933300572812,0.0001933300572812,1.903591707713377e-08,1.903591707713377e-08
9,0.7681842353554419,0.7681842353554419,0.5575495097926133,0.5576993163882991,0.0004247524418633,0.0004247524418633,4.14432267972371e-08,4.14432267972371e-08
10,0.936340679050279,0.936340679050279,0.6889294606617382,0.6890977325960715,0.0009135613775854,0.0009135613775854,8.865650598222556e-08,8.865650598222556e-08
11,1.100194320899481,1.100194320899481,0.8194628723631544,0.8196451320311678,0.0019233490599887,0.0019233490599887,1.864521583627972e-07,1.864521583627972e-07
12,1.2554442851526244,1.2554442851526244,0.9453210049589612,0.9455137712944155,0.0039665184187431,0.0039665184187431,3.864322786966773e-07,3.864322786966773e-07
13,1.3993188100480474,1.3993188100480474,1.06385237107386,1.0640529643832075,0.0080057193772012,0.0080057193772012,7.915203663182389e-07,7.915203663182389e-07
14,1.5302623469796637,1.5302623469796637,1.1733991715131349,1.1736055508083358,0.0157434557689083,0.0157434557689083,1.6066466509649391e-06,1.6066466509649391e-06
15,1.6476865352871342,1.6476865352871342,1.273138730405983,1.2733493572261834,0.0298754619767642,0.0298754619767642,3.240373512089066e-06,3.240373512089066e-06
16,1.751776477203549,1.751776477203549,1.362957794568526,1.3631715204068373,0.0538736619047484,0.0538736619047484,6.511511352020031e-06,6.511511352020031e-06
17,1.8432799600503869,1.8432799600503869,1.4432916025147533,1.4435075774104742,0.0906675259317266,0.0906675259317266,1.3072953936047502e-05,1.3072953936047502e-05
18,1.9231807091221151,1.9231807091221151,1.514821497788368,1.515037472684089,0.1405207436175387,0.1405207436175387,2.626999239760574e-05,2.626999239760574e-05
19,1.992339009632749,1.992339009632749,1.5781083373334917,1.5783243122292123,0.2001616887247881,0.20017137225354537,5.282697596141393e-05,5.282697596141393e-05
20,2.051386607389164,2.051386607389164,1.633464733540511,1.6336801969421832,0.2643941136720493,0.26441123769925035,0.0001061050728854,0.0001061050728854
21,2.1009102727458586,2.1009102727458586,1.681130342746636,1.6813449264429126,0.3284147763169597,0.32843759918133986,0.0002124149555839,0.0002124149555839
22,2.141644074939,2.141644074939,1.7214797329475886,1.7216931896848473,0.3889525178426211,0.38897969322623216,0.00042328499061,0.00042328499061
23,2.174507093913129,2.174507093913129,1.755085974864549,1.755298153849468,0.444252946656183,0.4442834381299108,0.0008391470959857,0.0008391470959857
24,2.2005311260318585,2.2005311260318585,1.7826701657996058,1.7828809879579501,0.4936407114222289,0.49367372407928045,0.0016543794332607,0.0016543794332607
25,2.220763821370701,2.220763821370701,1.8050171869900584,1.8052266227821614,0.5370938116378632,0.5371287377908412,0.0032405731282856,0.0032405731282856
26,2.2361924834416453,2.2361924834416453,1.822904121074746,1.8231121724416206,0.5749462085136756,0.5749825848830922,0.006292052383407,0.006292052383407
27,2.247700420468192,2.247700420468192,1.837056518855951,1.8372632054650297,0.6077101030065305,0.6077475772159092,0.0120514339303212,0.0120514339303212
28,2.2560554310551213,2.2560554310551213,1.8481353609611344,1.8483407098228508,0.6359875222558032,0.6360258267880283,0.0225681026313794,0.0225681026313794
29,2.2619254008170366,2.2619254008170366,1.8567517663925857,1.8569558032411853,0.6604444475925098,0.6604833796667324,0.0407357411614145,0.0407357411614145
30,2.265897233275748,2.265897233275748,1.863484656021836,1.8636873976696573,0.6818063414644628,0.681845747563537,0.0695560448294982,0.0695560448294982
31,2.268441858610182,2.268441858610182,1.8688374291515504,1.8690388799582267,0.7007954609483807,0.7008348670474549,0.1103483305258402,0.1103483305258402
32,2.2698117532804485,2.2698117532804485,1.8731111476806448,1.8733113060415347,0.7179664195779251,0.7180058256769992,0.1611762851391955,0.1611896810470451
33,2.2700114770772166,2.2700114770772166,1.8763393580577807,1.876538230533597,0.7335738345337043,0.7336131377288909,0.2174731062932327,0.21749693413830695
34,2.268945436640619,2.268945436640619,1.878412246877999,1.8786098572017107,0.747631972271176,0.7476710912754919,0.2743328419029002,0.2743647866075266
35,2.266600662661554,2.266600662661554,1.879262825807802,1.8794592119918394,0.7600863686507975,0.7601252427458787,0.3281846288609398,0.3282228836771391
36,2.263111439876744,2.263111439876744,1.8789517201465784,1.8791469009429764,0.7709326956432885,0.7709712827928993,0.3770935211714454,0.3771366774435866
