step,n_r2_baseline,n_r3_baseline,n_r5_baseline,n_r6_baseline,n_r3_lag_tensor,n_r5_lag_tensor,n_r6_lag_tensor,n_r2_lag_tensor
0,0.0052773676695644,0.0036515617930634,2.6565837949990816e-07,2.795759789623016e-11,0.0036515617930634,2.6565837949990816e-07,2.795759789623016e-11,0.0052773676695644
1,0.0150852575239234,0.0104230102459041,7.779662268663345e-07,8.180702475884137e-11,0.0104230102459041,7.779662268663346e-07,8.180702475884137e-11,0.0150852575239234
2,0.0330274445543685,0.0227689462009204,1.783661890835517e-06,1.8725314687862072e-10,0.0227689462009204,1.783661890835517e-06,1.8725314687862072e-10,0.0330274445543685
3,0.0646836522890392,0.0444858140011487,3.8107765345763214e-06,3.986110479726794e-10,0.0444858140011487,3.810776534576321e-06,3.986110479726794e-10,0.0646836522890392
4,0.1172606616280847,0.0805800285790928,8.062080460346507e-06,8.372864137399e-10,0.0805800285790928,8.062080460346507e-06,8.372864137399e-10,0.1172606616280847
5,0.1974654664717717,0.1361451578950452,1.739673754608143e-05,1.786035489909484e-09,0.1361451578950452,1.739673754608143e-05,1.7860354899094838e-09,0.1974654664717717
6,0.3079814788735435,0.2142109464445331,3.853785495495281e-05,3.899161693244423e-09,0.2147615834037741,3.853785495495281e-05,3.899161693244422e-09,0.3079814788735435
7,0.4454189871469409,0.3138657033854662,8.652369940975742e-05,8.626174913795703e-09,0.31497387248493236,8.652369940975742e-05,8.626174913795703e-09,0.4454189871469409
8,0.6018653299567128,0.4304493175103002,0.0001933300572812,1.903591707713377e-08,0.4320938404070402,0.0001933300572812,1.903591707713377e-08,0.6018653299567128
9,0.7681842353554419,0.5575495097926133,0.0004247524418633,4.14432267972371e-08,0.5596660998540682,0.0004247524418633,4.14432267972371e-08,0.7681842353554419
10,0.936340679050279,0.6889294606617382,0.0009135613775854,8.865650598222556e-08,0.6913566614478951,0.0009135613775854,8.865650598222556e-08,0.936340679050279
11,1.100194320899481,0.8194628723631544,0.0019233490599887,1.864521583627972e-07,0.8223646966257695,0.0019233490599887,1.864521583627972e-07,1.100194320899481
12,1.2554442851526244,0.9453210049589612,0.0039665184187431,3.864322786966773e-07,0.948600342693173,0.0039665184187431,3.864322786966773e-07,1.2554442851526244
13,1.3993188100480474,1.06385237107386,0.0080057193772012,7.915203663182389e-07,1.067323419851922,0.0080057193772012,7.915203663182389e-07,1.3993188100480474
14,1.5302623469796637,1.1733991715131349,0.0157434557689083,1.6066466509649391e-06,1.1770543164708587,0.0157434557689083,1.6066466509649391e-06,1.5302623469796637
15,1.6476865352871342,1.273138730405983,0.0298754619767642,3.240373512089066e-06,1.276970379783774,0.0298754619767642,3.240373512089066e-06,1.6476865352871342
16,1.751776477203549,1.362957794568526,0.0538736619047484,6.511511352020031e-06,1.3671173653814208,0.0538736619047484,6.511511352020031e-06,1.751776477203549
17,1.8432799600503869,1.4432916025147533,0.0906675259317266,1.3072953936047502e-05,1.4477821778488889,0.0906675259317266,1.3072953936047502e-05,1.8432799600503869
18,1.9231807091221151,1.514821497788368,0.1405207436175387,2.626999239760574e-05,1.5193120731225036,0.1405207436175387,2.626999239760574e-05,1.9231807091221151
