radius_bin,winner_name,post_onset_count,post_onset_fraction
3,pair_upstream@0,79,0.6869565217391305
3,pair_upstream@3,10,0.08695652173913043
3,def_slope@0,10,0.08695652173913043
3,curv_def@3,9,0.0782608695652174
3,pair_tail@3,3,0.02608695652173913
3,pair_upstream@2,2,0.017391304347826087
3,def_slope@1,1,0.008695652173913044
3,def_slope@2,1,0.008695652173913044
5,def_slope@0,68,0.6666666666666666
5,curv_def@3,19,0.18627450980392157
5,pair_tail@0,4,0.0392156862745098
5,curv_def@0,3,0.029411764705882353
5,def_slope@3,3,0.029411764705882353
5,pair_tail@3,2,0.0196078431372549
5,def_slope@1,2,0.0196078431372549
5,curv_def@2,1,0.00980392156862745
6,def_slope@0,74,0.8314606741573034
6,curv_def@3,7,0.07865168539325842
6,pair_tail@3,3,0.033707865168539325
6,curv_def@0,2,0.02247191011235955
6,def_slope@1,2,0.02247191011235955
6,pair_tail@0,1,0.011235955056179775
