radius_bin,winner_name,post_onset_count,post_onset_fraction
3,pair_upstream@0,77,0.6695652173913044
3,curv_def@3,8,0.06956521739130435
3,pair_upstream@3,7,0.06086956521739131
3,traj_flux@0,5,0.043478260869565216
3,traj_flux@3,5,0.043478260869565216
3,traj_flux@1,5,0.043478260869565216
3,def_slope@0,3,0.02608695652173913
3,traj_flux@2,2,0.017391304347826087
3,pair_tail@3,2,0.017391304347826087
3,flux_res@0,1,0.008695652173913044
5,traj_flux@0,61,0.5980392156862745
5,def_slope@0,17,0.16666666666666666
5,pair_tail@0,6,0.058823529411764705
5,curv_def@3,5,0.049019607843137254
5,traj_flux@1,4,0.0392156862745098
5,traj_flux@3,4,0.0392156862745098
5,def_slope@3,2,0.0196078431372549
5,traj_flux@2,1,0.00980392156862745
5,pair_upstream@3,1,0.00980392156862745
5,def_slope@1,1,0.00980392156862745
6,traj_flux@0,47,0.5280898876404494
6,def_slope@0,27,0.30337078651685395
6,curv_def@3,8,0.0898876404494382
6,traj_flux@1,4,0.0449438202247191
6,traj_flux@3,2,0.02247191011235955
6,def_slope@1,1,0.011235955056179775
