// photon_packet_path_classification_sample.csv
packet_id,classification,group_id,phase_lock_score,curvature_depth,coherence_score
0,shared,0,0.998786,6.75558,0.99883
1,individual,1,0.998351,18.0968,0.998057
2,individual,2,0.991651,14.5904,0.987853
3,shared,1,0.998929,19.7978,0.998842
4,individual,4,0.998363,7.23333,0.998063
5,individual,5,0.998351,9.15991,0.998057
6,shared,0,0.998495,17.3322,0.998704
7,shared,1,0.998375,11.0235,0.998069
8,individual,8,0.998363,16.4761,0.998063
9,individual,9,0.989561,16.8269,0.986909
10,shared,0,0.998371,11.0007,0.998068
11,shared,1,0.998375,11.9896,0.998069
12,individual,12,0.989586,6.84176,0.986908
13,individual,13,0.998367,7.85178,0.998067
14,shared,0,0.998371,11.5337,0.998068
15,individual,15,0.989518,7.12317,0.986367
16,shared,0,0.998698,9.14439,0.998787
17,individual,17,0.998367,23.3346,0.998067
18,individual,18,0.987099,7.10998,0.984651
19,shared,1,0.998708,11.1807,0.998769
20,shared,0,0.99863,18.0501,0.998472
21,individual,21,0.98458,26.9564,0.977747
22,shared,0,0.998495,11.3613,0.998704
23,shared,1,0.998748,33.5304,0.998444
