// photon_packet_trajectory_sample.csv
packet_id,timestep,x,y,z,theta,amplitude,freq_x,freq_y,freq_z,phase_coupling,temporal_inertia,curvature,coherence,flux
0,0,-0.0179798,0.0160085,-0.00869586,-0.448789,0.0699927,27,30,33,0.998304,0.00478296,66.7874,0.998304,0.000586182
1,0,-0.0094747,0.0111132,-0.00958101,1.38555,0.0651439,24,27,30,0.996783,0.0041442,44.749,0.996783,0.000520252
2,0,-0.0217624,0.0116869,0.000805293,0.0735167,0.0711388,24,27,30,0.980148,0.00268107,29.6874,0.980148,0.000675604
3,0,-0.00106763,-0.0111085,0.00236554,-0.979188,0.0694946,28,31,34,0.998274,0.00417084,16.3056,0.998274,0.000846803
4,0,0.0211254,-0.0146496,0.00581864,-0.445901,0.064641,24,27,30,0.996782,0.00225345,14.784,0.996782,0.000794633
5,0,0.0112497,-0.00187504,-0.00602536,0.333865,0.070624,24,27,30,0.996783,0.00360037,9.26148,0.996783,0.00107519
6,0,-0.00251783,-0.0105346,0.00470393,-0.972402,0.0690001,28,31,34,0.998243,0.0044767,14.7306,0.998243,0.000913954
7,0,0.0193098,-0.00584707,-0.00482897,-0.975546,0.0641419,25,28,31,0.996782,0.00234859,23.1131,0.996782,0.000644321
8,0,-0.00725903,0.000637302,0.00618522,-0.450127,0.0701129,25,28,31,0.996782,0.00441395,8.78081,0.996782,0.00110953
9,0,0.0196097,-0.00576087,-0.00593329,-0.711671,0.0685092,29,32,35,0.984471,0.00355026,13.6149,0.984471,0.00105067
10,0,0.0117642,-0.0129199,0.00339645,0.0776708,0.0636468,26,29,32,0.996781,0.0039261,50.9259,0.996781,0.000497635
11,0,-0.0143925,0.0125939,-8.56718e-05,1.11561,0.0696054,26,29,32,0.996782,0.00386859,60.6845,0.996782,0.000512994
12,0,-0.0199871,0.0156682,-0.00457103,-0.448818,0.0680218,29,32,35,0.984471,0.00485689,41.3005,0.984471,0.000735104
13,0,0.0131996,-0.0137292,0.00797786,0.338135,0.0631554,26,29,32,0.996781,0.00438134,62.562,0.996781,0.000494663
14,0,0.0208247,-0.00707699,-0.0047839,-0.973771,0.0691016,26,29,32,0.996781,0.00276911,20.0644,0.996781,0.000806917
15,0,0.00445676,-0.0120774,-0.00137797,-0.980079,0.067538,30,33,36,0.983601,0.00484082,23.5689,0.983601,0.000766175
16,0,0.0192689,-0.0111334,0.000764675,-0.445956,0.062668,27,30,33,0.998304,0.00284388,12.1062,0.998304,0.000927011
17,0,-0.00613796,-0.0041565,0.00887322,-0.71361,0.0686015,27,30,33,0.996781,0.00453169,12.2272,0.996781,0.00100842
18,0,-0.00290645,0.0126337,-0.000899637,0.0747661,0.0670576,31,34,37,0.983601,0.00527865,21.1994,0.983601,0.000827722
19,0,0.0171177,-0.000351923,-0.00610926,-0.976385,0.0621843,27,30,33,0.998274,0.00258358,17.249,0.998274,0.000734143
20,0,-0.00217785,-0.00524266,0.00952959,-0.45022,0.068105,27,30,33,0.997836,0.00539166,13.9741,0.997836,0.000985985
21,0,-0.0163368,-5.10941e-05,0.00836654,0.335362,0.0665807,31,34,37,0.965351,0.00420713,12.2289,0.965351,0.00110218
22,0,-0.0149929,0.0120844,0.00087597,1.12481,0.0617045,28,31,34,0.998243,0.00419124,62.3111,0.998243,0.000484637
23,0,-0.0174167,0.0101187,0.00360974,1.11882,0.0676122,28,31,34,0.997788,0.00399153,60.494,0.997788,0.000538063
0,1,0.00414345,0.000439677,-0.00106413,-0.373633,0.0699958,27,30,33,0.998462,0.0012717,83.5009,0.998462,0.000269467
1,1,0.00559217,-0.00208172,-0.000349691,1.4621,0.0651463,24,27,30,0.997019,0.00182378,502.028,0.997019,0.000110292
2,1,0.00352778,0.00070404,-0.000473663,0.147407,0.0711411,24,27,30,0.980653,0.000853151,85.2921,0.980653,0.000214949
3,1,-0.00461333,-3.42662e-05,0.000326827,-0.910938,0.0694977,28,31,34,0.998432,0.00179793,652.753,0.998432,9.39633e-05
4,1,-0.00249909,-0.000910735,0.00120531,-0.368196,0.0646437,24,27,30,0.997018,0.00142505,70.9345,0.997018,0.000248953
5,1,0.00266375,-0.00245236,0.000360651,0.40629,0.0706266,24,27,30,0.997019,0.00223006,225.372,0.997019,0.000167046
6,1,-0.00489629,0.000100423,0.000476417,-0.897261,0.0690032,28,31,34,0.998401,0.00192992,560.108,0.998401,0.00011105
7,1,-0.00143769,-0.00143006,5.30477e-05,-0.903921,0.0641448,25,28,31,0.997018,0.00108969,86.6792,0.997018,0.000187037
8,1,-0.00427796,0.0028631,-0.000428743,-0.376278,0.0701157,25,28,31,0.997018,0.00251443,492.045,0.997018,0.000132656
9,1,0.00323449,-0.00213389,-0.000311732,-0.637617,0.0685123,29,32,35,0.984542,0.002594,281.348,0.984542,0.000165509
10,1,-0.00484908,3.70402e-05,0.000598063,0.155347,0.0636498,25,28,31,0.997017,0.00131742,216.898,0.997017,0.000142334
11,1,0.00438114,0.000409954,-0.000338521,1.18431,0.0696083,26,29,32,0.997018,0.00108694,172.06,0.997018,0.000159663
12,1,0.000765317,0.00211178,-0.000673031,-0.373691,0.0680249,29,32,35,0.984542,0.00197562,86.6445,0.984542,0.000271376
13,1,-0.00503637,0.000299344,0.000942076,0.41447,0.0631585,26,29,32,0.997017,0.00135157,137.132,0.997017,0.000189153
14,1,-0.00038007,-0.00168927,2.50909e-05,-0.899973,0.0691046,26,29,32,0.997017,0.00151534,93.7217,0.997017,0.000212531
15,1,-0.00367128,-0.00112097,-4.40147e-06,-0.912726,0.067541,30,33,36,0.983628,0.00117831,144.481,0.983628,0.000174625
16,1,0.00124492,-0.00251103,0.000811766,-0.368307,0.0626711,27,30,33,0.998462,0.00229249,127.655,0.998462,0.000205934
17,1,-0.00508733,0.00195136,0.000474886,-0.641465,0.0686046,27,30,33,0.997017,0.00238024,757.805,0.997017,0.000107986
18,1,0.00380959,0.00119234,-0.000109773,0.149876,0.0670606,31,34,37,0.983628,0.00132758,143.979,0.983628,0.000190488
19,1,0.00173161,-0.00141641,-0.00036154,-0.905597,0.0621875,27,30,33,0.998432,0.00179904,160.54,0.998432,0.000148977
20,1,-0.00583612,0.00194922,0.000597848,-0.376466,0.0681081,27,30,33,0.99791,0.00234964,468.414,0.99791,0.000140888
21,1,-0.00509115,0.000923036,0.000782034,0.409251,0.0665837,31,34,37,0.966234,0.00273636,754.854,0.966234,0.000116286
22,1,0.00285344,0.00135822,-0.000219285,1.20243,0.0617076,28,31,34,0.998401,0.00104268,100.096,0.998401,0.000194341
23,1,0.00213688,0.00136568,4.24331e-05,1.19047,0.0676153,28,31,34,0.997856,0.00095351,87.4635,0.997856,0.000207773
0,2,4.00402e-06,-0.000167479,-4.50004e-06,-0.298204,0.0699981,27,30,33,0.998578,0.000244505,28.6935,0.998578,2.18136e-05
1,2,-0.000465263,-1.10244e-05,1.96825e-05,1.53864,0.065147,24,27,30,0.997209,0.000101636,20.7385,0.997209,1.48067e-05
2,2,-0.000191563,-9.72324e-05,9.87257e-06,0.221605,0.0711418,24,27,30,0.98142,0.000132683,11.157,0.98142,1.89574e-05
3,2,0.000182832,4.76756e-05,3.02013e-05,-0.842504,0.0695001,27,30,33,0.998548,5.79425e-05,7.38263,0.998548,1.62907e-05
4,2,6.1963e-05,0.000166646,-4.03645e-05,-0.290489,0.0646449,24,27,30,0.997208,0.000238781,28.6102,0.997208,2.05662e-05
5,2,-0.00030213,8.65276e-05,-9.07865e-06,0.479012,0.0706279,24,27,30,0.997209,0.000209259,18.5077,0.997209,6.95601e-06
6,2,0.000169759,6.32222e-05,3.22115e-05,-0.82185,0.0690057,28,31,34,0.998517,8.65268e-05,11.3752,0.998517,1.85079e-05
7,2,-3.57299e-05,8.42313e-05,-1.36882e-06,-0.83233,0.0641464,25,28,31,0.997208,0.000175588,8.13798,0.997208,1.23996e-05
8,2,0.000434642,-7.16774e-05,-4.5175e-06,-0.302119,0.0701173,25,28,31,0.997208,0.000184107,25.545,0.997208,1.07506e-05
9,2,-0.000391122,5.78331e-07,-2.12179e-06,-0.563307,0.0685148,29,32,35,0.9846,0.000142165,23.0077,0.9846,1.41381e-05
