step,n_r2_baseline,n_r3_baseline,n_r5_baseline,n_r6_baseline,n_r2_corrected,n_r3_corrected,n_r5_corrected,n_r6_corrected
0,0.0052773676695644,0.0036515617930634,2.6565837949990816e-07,2.795759789623016e-11,0.0052773676695644,0.003935397325482111,3.4615067578230256e-07,4.841238866928879e-11
1,0.0150852575239234,0.0104230102459041,7.779662268663345e-07,8.180702475884137e-11,0.0150852575239234,0.01121678416041684,1.0195629177035415e-06,1.4303320709333546e-10
2,0.0330274445543685,0.0227689462009204,1.783661890835517e-06,1.8725314687862072e-10,0.0330274445543685,0.024429726790875465,2.3591075316747e-06,3.3220499197725174e-10
3,0.0646836522890392,0.0444858140011487,3.8107765345763214e-06,3.986110479726794e-10,0.0646836522890392,0.04750987582182367,5.114393791412335e-06,7.23391839315421e-10
4,0.1172606616280847,0.0805800285790928,8.062080460346507e-06,8.372864137399001e-10,0.1172606616280847,0.08555354231992478,1.1034382273606602e-05,1.5660674765998703e-09
5,0.1974654664717717,0.1361451578950452,1.739673754608143e-05,1.786035489909484e-09,0.1974654664717717,0.14365682739567243,2.426150719962035e-05,3.4388602959349064e-09
6,0.3079814788735435,0.2142109464445331,3.853785495495281e-05,3.899161693244423e-09,0.3079814788735435,0.2248355765948537,5.431408443294475e-05,7.632702458302e-09
7,0.4454189871469409,0.3138657033854662,8.652369940975742e-05,8.626174913795703e-09,0.4454189871469409,0.3282962158369577,0.00012202427649132026,1.6903218319716708e-08
8,0.6018653299567128,0.4304493175103002,0.0001933300572812,1.903591707713377e-08,0.6018653299567128,0.44964274209434446,0.000271176652590504,3.696001130345476e-08
9,0.7681842353554419,0.5575495097926133,0.0004247524418633,4.14432267972371e-08,0.7681842353554419,0.5827106234443279,0.0005914461255940312,7.944639771403027e-08
10,0.936340679050279,0.6889294606617382,0.0009135613775854,8.865650598222556e-08,0.936340679050279,0.7213463677174581,0.0012632047463524369,1.678983912170791e-07
11,1.100194320899481,0.8194628723631544,0.0019233490599887,1.864521583627972e-07,1.100194320899481,0.8603110729896574,0.002642457517107966,3.4961612857933503e-07
12,1.2554442851526244,0.9453210049589612,0.0039665184187431,3.864322786966773e-07,1.2554442851526244,0.9955158924980584,0.005412768127985518,7.192683065300907e-07
13,1.3993188100480474,1.06385237107386,0.0080057193772012,7.915203663182389e-07,1.3993188100480474,1.1239736295578038,0.010827254375186165,1.4659228793365862e-06
14,1.5302623469796637,1.1733991715131349,0.0157434557689083,1.6066466509649391e-06,1.5302623469796637,1.2436815865066508,0.02100299561837748,2.9675126283782286e-06
15,1.6476865352871342,1.273138730405983,0.0298754619767642,3.240373512089066e-06,1.6476865352871342,1.3535141440580511,0.0390332456840171,5.98323296123206e-06
16,1.751776477203549,1.362957794568526,0.0538736619047484,6.511511352020031e-06,1.751776477203549,1.4531259508627412,0.06839340132191542,1.2049532350160142e-05
17,1.8432799600503869,1.4432916025147533,0.0906675259317266,1.3072953936047502e-05,1.8432799600503869,1.542787560878882,0.11128681791539122,2.4287685777298443e-05
18,1.9231807091221151,1.514821497788368,0.1405207436175387,2.626999239760574e-05,1.9231807091221151,1.623052421890455,0.16683271616370143,4.900628928247445e-05
19,1.992339009632749,1.5781083373334917,0.2001616887247881,5.282697596141393e-05,1.992339009632749,1.6943652912990939,0.23097653892784925,9.881995894891991e-05
20,2.051386607389164,1.633464733540511,0.2643941136720493,0.0001061050728854,2.051386607389164,1.7569385829515647,0.2984063265741803,0.00019871285220074512
21,2.1009102727458586,1.681130342746636,0.3284147763169597,0.0002124149555839,2.1009102727458586,1.810947911080909,0.36458658525580895,0.00039784764548212034
22,2.141644074939,1.7214797329475886,0.3889525178426211,0.00042328499061,2.141644074939,1.8567528936153628,0.42657325694931636,0.0007924295502534334
23,2.174507093913129,1.755085974864549,0.444252946656183,0.0008391470959857,2.174507093913129,1.8949583334320155,0.4828647845931413,0.0015693486800926134
24,2.2005311260318585,1.7826701657996058,0.4936407114222289,0.0016543794332607,2.2005311260318585,1.9263513989962993,0.5329523581207998,0.00308728557231209
25,2.220763821370701,1.8050171869900584,0.5370938116378632,0.0032405731282856,2.220763821370701,1.951802758937744,0.5769182376678909,0.006019736172776416
26,2.2361924834416453,1.822904121074746,0.5749462085136756,0.006292052383407,2.2361924834416453,1.9721828974833215,0.6151637577071738,0.011580905188482041
27,2.247700420468192,1.837056518855951,0.6077101030065305,0.0120514339303212,2.247700420468192,1.988310968435484,0.6482519814536284,0.021798921073042498
28,2.2560554310551213,1.8481353609611344,0.6359875222558032,0.0225681026313794,2.2560554310551213,2.000939533684613,0.6768350795555015,0.039609757246500635
29,2.2619254008170366,1.8567517663925857,0.6604444475925098,0.0407357411614145,2.2619254008170366,2.010769688354258,0.7016336110877939,0.06824180354711668
30,2.265897233275748,1.863484656021836,0.6818063414644628,0.0695560448294982,2.265897233275748,2.0184635331244682,0.7234110702390638,0.10952217827360988
31,2.268441858610182,1.8688374291515504,0.7007954609483807,0.1103483305258402,2.268441858610182,2.0245837250316012,0.7428719373665376,0.1621209281823257
32,2.2698117532804485,1.8731111476806452,0.7179664195779251,0.1611762851391955,2.2698117532804485,2.02945143816712,0.7604983612342674,0.22171592555314287
33,2.2700114770772166,1.8763393580577812,0.7335738345337043,0.2174731062932327,2.2700114770772166,2.0330898970282987,0.776476066863105,0.28308435333355847
34,2.268945436640619,1.878412246877999,0.747631972271176,0.2743328419029002,2.268945436640619,2.0353753187819734,0.7907959033928023,0.3420546037848309
35,2.266600662661554,1.879262825807802,0.7600863686507975,0.3281846288609398,2.266600662661554,2.036243082798922,0.8034171561213366,0.39614969714139187
36,2.263111439876744,1.8789517201465784,0.7709326956432885,0.3770935211714454,2.263111439876744,2.0357755277509004,0.8143619509269222,0.4443108586983794
37,2.258720113977397,1.8776479946381737,0.7802446990014954,0.4203503447965633,2.258720113977397,2.034175693762451,0.8237282835877079,0.4863843595510996
38,2.253709703661785,1.8755739508509588,0.7881542098201568,0.4579765393962184,2.253709703661785,2.0317036330350176,0.8316656193609723,0.5227021286910317
39,2.24835171952551,1.8729575539427628,0.7948218249212539,0.4903639428581802,2.24835171952551,2.0286228511203475,0.8383460239358466,0.5538141430939927
40,2.242877858057468,1.8700039318087456,0.8004139791274028,0.5180577072552912,2.242877858057468,2.0251687325845236,0.8439429249046986,0.5803376185497428
41,2.23747006928731,1.86688293606176,0.805088913764513,0.541638322439449,2.23747006928731,2.0215351255595517,0.8486186382527566,0.6028792083117778
42,2.232261483706941,1.86372683071838,0.8089896202109639,0.5616627399051173,2.232261483706941,2.017872256972418,0.8525184336368329,0.6219987621859743
43,2.227342545617914,1.860633283784047,0.8122412742411285,0.5786382645065565,2.227342545617914,2.0142905115404024,0.8557686987412467,0.6381954849575918
44,2.222768907257131,1.857670571856589,0.814951235676437,0.5930137662009446,2.222768907257131,2.0108666003607456,0.8584773903465882,0.6519056159639175
45,2.2185692544981204,1.854883266945291,0.8172103533087189,0.6051796161426701,2.2185692544981204,2.0076501871068815,0.8607356102036452,0.6635056764132239
46,2.2147522313730867,1.8522975469938785,0.8190948221640548,0.6154717045134646,2.2147522313730867,2.0046700237726145,0.8626196215836266,0.6733181070319351
47,2.211312184826688,1.8499257756815648,0.8206681731966281,0.6241770910216735,2.211312184826688,2.001939213570054,0.864192930872029,0.6816176440454071
48,2.208233731939466,1.8477702656972068,0.8219831783397608,0.6315400328058568,2.208233731939466,1.9994595180253285,0.8655082444711566,0.6886376078826841
49,2.2054952770005367,1.8458262701395955,0.82308357138212,0.6377677763776595,2.2054952770005367,1.9972247691555283,0.8666092179993822,0.6945757215898689
50,2.2030716478520525,1.8440843008250007,0.8240055503161942,0.6430358413713679,2.2030716478520525,1.9952235058923042,0.8675319733024888,0.6995993095134344
51,2.200936021739363,1.8425318866205944,0.8247790610902881,0.6474927020596148,2.200936021739363,1.9934409679045821,0.8683063890628041,0.7038498470349557
52,2.1990612934692084,1.84115488005467,0.825428879289648,0.6512638628381854,2.1990612934692084,1.9918605728277645,0.8689571849859204,0.7074468911349614
53,2.197421015033755,1.839938407515246,0.8259755130334278,0.6544553668842762,2.197421015033755,1.99046498709546,0.8695048248759195,0.7104914477375269
54,2.1959900119153453,1.8388675430888004,0.8264359518722183,0.6571567950580863,2.1959900119153453,1.9892368824837992,0.8699662645573566,0.7130688406289466
55,2.194744759663553,1.837927771290028,0.8268242853147362,0.6594438168654224,2.194744759663553,1.988159453168461,0.8703555689407164,0.7152511467056524
56,2.193663585941898,1.83710529077982,0.827152212261503,0.6613803534611347,2.193663585941898,1.9872167528318976,0.8706844198779042,0.717099257990052
57,2.1927267481480803,1.8363872000303347,0.8274294598724127,0.6630204077859905,2.1927267481480803,1.986393898504684,0.8709625335272269,0.7186646247434584
58,2.1919164246179275,1.8357615967428729,0.8276641276581251,0.6644096108865862,2.1919164246179275,1.9856771773062711,0.8711980031080149,0.7199907274205674
59,2.1912166478959763,1.835217615452538,0.8278629700618466,0.6655865272588503,2.1912166478959763,1.9850540838075117,0.871397580343534,0.7211143188228021
60,2.190613201146596,1.834745421901859,0.8280316285691671,0.6665837561731136,2.190613201146596,1.9845133090542515,0.8715669066302293,0.7220664719355929
61,2.190093493078661,1.8343361781715444,0.8281748224665448,0.6674288606027988,2.190093493078661,1.9840446970575618,0.8717107030381755,0.7228734637007821
62,2.189646422411371,1.8339819889824711,0.8282965057487928,0.6681451506626862,2.189646422411371,1.9836391804933122,0.8718329266203887,0.7235575203999481
63,2.189262239626151,1.8336758368245507,0.8283999963229565,0.6687523443626264,2.189262239626151,1.983288704224209,0.8719368991538523,0.7241374463751113
64,2.1889324112926505,1.833411511454924,0.8284880825356953,0.6692671249566837,2.1889324112926505,1.982986142864325,0.8720254133157762,0.7246291544334355
65,2.1886494904362475,1.8331835377012835,0.8285631111292635,0.6697036111580237,2.1886494904362475,1.9827252167897855,0.8721008203788843,0.7250461134070414
